run_id,condition,guidance_window,t_start,t_end,guidance_scale,seed,n_generated,classifier_mean_confidence,classifier_mean_loss,runtime_seconds,artifact_path,timestamp,notebook_slug,kernel_version
baseline_seed25,baseline,none,0,0,0.0,25,1,6.952058356546331e-06,11.876472473144531,74.27584862709045,/kaggle/working/minority-guidance/results/baseline_seed25/samples_1x256x256x3.npz,2026-05-18T23:31:52.926963+00:00,vittorialanzo/windowed-minority-guidance-extended,17
full_seed25,minority-full,full,0,1000,3.5,25,1,0.40603795647621155,0.9013085961341858,92.034677028656,/kaggle/working/minority-guidance/results/full_seed25/samples_1x256x256x3.npz,2026-05-18T23:33:29.533018+00:00,vittorialanzo/windowed-minority-guidance-extended,17
early_seed25,minority-early,early,0,333,3.5,25,1,1.1175764484505635e-05,11.401762962341309,80.59193277359009,/kaggle/working/minority-guidance/results/early_seed25/samples_1x256x256x3.npz,2026-05-18T23:34:54.613419+00:00,vittorialanzo/windowed-minority-guidance-extended,17
mid_seed25,minority-mid,mid,333,667,3.5,25,1,0.05589566379785538,2.884268283843994,80.56796312332153,/kaggle/working/minority-guidance/results/mid_seed25/samples_1x256x256x3.npz,2026-05-18T23:36:19.702430+00:00,vittorialanzo/windowed-minority-guidance-extended,17
late_seed25,minority-late,late,667,1000,3.5,25,1,7.187566666289058e-07,14.145742416381836,80.52285599708557,/kaggle/working/minority-guidance/results/late_seed25/samples_1x256x256x3.npz,2026-05-18T23:37:45.003719+00:00,vittorialanzo/windowed-minority-guidance-extended,17
baseline_seed26,baseline,none,0,0,0.0,26,1,5.763985768680868e-07,14.366466522216797,74.62763833999634,/kaggle/working/minority-guidance/results/baseline_seed26/samples_1x256x256x3.npz,2026-05-18T23:39:04.184349+00:00,vittorialanzo/windowed-minority-guidance-extended,17
full_seed26,minority-full,full,0,1000,3.5,26,1,0.10993161797523499,2.2078967094421387,92.25637316703796,/kaggle/working/minority-guidance/results/full_seed26/samples_1x256x256x3.npz,2026-05-18T23:40:41.007096+00:00,vittorialanzo/windowed-minority-guidance-extended,17
early_seed26,minority-early,early,0,333,3.5,26,1,9.030176215674146e-07,13.917524337768555,80.78027486801147,/kaggle/working/minority-guidance/results/early_seed26/samples_1x256x256x3.npz,2026-05-18T23:42:06.466497+00:00,vittorialanzo/windowed-minority-guidance-extended,17
mid_seed26,minority-mid,mid,333,667,3.5,26,1,1.6473726645926945e-05,11.013744354248047,81.27173089981079,/kaggle/working/minority-guidance/results/mid_seed26/samples_1x256x256x3.npz,2026-05-18T23:43:32.493602+00:00,vittorialanzo/windowed-minority-guidance-extended,17
late_seed26,minority-late,late,667,1000,3.5,26,1,8.305325422952592e-07,14.001198768615723,81.08280849456787,/kaggle/working/minority-guidance/results/late_seed26/samples_1x256x256x3.npz,2026-05-18T23:44:58.224151+00:00,vittorialanzo/windowed-minority-guidance-extended,17
baseline_seed27,baseline,none,0,0,0.0,27,1,4.201129195280373e-05,10.077571868896484,74.6563229560852,/kaggle/working/minority-guidance/results/baseline_seed27/samples_1x256x256x3.npz,2026-05-18T23:46:17.619214+00:00,vittorialanzo/windowed-minority-guidance-extended,17
full_seed27,minority-full,full,0,1000,3.5,27,1,0.1895301192998886,1.6632072925567627,92.97348046302795,/kaggle/working/minority-guidance/results/full_seed27/samples_1x256x256x3.npz,2026-05-18T23:47:55.423440+00:00,vittorialanzo/windowed-minority-guidance-extended,17
